review,hours,votes,sentiment
I keep getting shot by the same anime picture using weebs,438.6,0,0
FG,21.5,0,1
very fun,128.8,0,1
its like call of duty but with better guns physics and graphics played with my freind for over 30hrs very adicting haha,34.4,0,1
I like Russians swearing at me every time i miss a shot,100.1,0,1
Incredible experience. Would suka blyati again. 10/10,5.6,1,1
᠌,259.4,0,0
Product received for free Great game for destroying your pc and monitor,121.0,0,1
,4450.7,1,0
96 in 4,97.4,0,1
CS2 is a refreshing release of a cult classic. Its visuals are enhanced while the game remains quirky as always. Great for either competitive players or people looking to blow steam off after work.,50.0,0,1
yes,34.3,0,1
Best game,32.1,0,1
cs2 gets a 'mid' - fix the hitreg :>,196.0,1,0
CS:GO>CS:S>CS2,349.0,1,0
"I dont know why this is a thing. I earned to much xp this week so i have a ""BONUS"" that says: reduced earned XP for the next 4days. This is not fun at all. (with the reduction it would only be 14 hours for Rank 5) So for all players do not earn to much XP during a Week it will ♥♥♥♥ up ur game experience, espacially when u want to get to lv 10 so you can play with your Friends. ( It will only take you more than 100h ;) TY Valve this Rule is DOG****",13.4,0,0
"do you like girls? well dont play this game if you're into women. this game is exclusivity for the boys and if you think youre going to get that rank up simping for chicks you will be sorely mistaken, bring that energy to val not here on cs go. 45 out of 50 bananas.",150.6,1,1
mony,4.9,0,1
good game,3.1,0,1
Awesome,131.8,0,1
Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps! Give me arms race and the associated maps!,66.3,0,0
nooo my potato pc can't play cs again :'(,699.1,0,1
GOOD,193.4,0,1
GOOD,137.7,0,1
unga bunga,24.8,1,0
Neat,15.8,0,1
Getting real tired of AAA studies releasing a half assed game and fixing it for a year to make it somewhat decent,50.9,1,0
Lots of hackers. even in prime lobby,31.3,1,0
very good,14.4,0,1
slav,12.6,0,0
Product received for free uuh,5.0,0,1
♥♥♥♥♥♥♥ game,2751.0,3,0
it is a good game,5.4,0,1
i cant tk my team8s more than 3 times,10.2,0,0
very nice,141.7,0,1
gut,89.3,0,1
"trash game dont recomend, unless i can get a GOLD GOLD GOLD Ma drilla",303.3,0,1
horrible horrible game,122.1,1,0
"to see what happened when i tried to make breakfast, search up ""6 bumba clot eggs"" steven should have made less eggs and less bacon for breakfast",2518.2,0,1
"I don't want to harm anyone, if you have fun with this game so hf to you, but stupid shooting spray patterns for most of the rifles and awesome random ruins it. Regular crouching strafe headshots, with deagle, from 1 mile, is just Epic I played for a while, but hitbox registration is still a mystery for me, you can make a 5 kills in a row and then do absolutely the same thing and nothing happen, your brain says maybe it 99,9 dmg in 1000 hits but game says 21 dmg with 1 hit Yes, im not a good aimer, but in previous cs versions up to cs1.3 times i understand when i do wrong and i die, or yes this guy was faster and better. Here when i observing others play, i see they do same random ♥♥♥♥ only. Maybe im too old for this kind of cs, please don't take Offense for those who like it.",277.3,1,0
Why Valve just why?,9.4,1,0
free to cheat garbage,1220.4,1,0
"stupid dog game, please uninstall and download point blank instead.",2606.1,0,0
Pretty good,587.3,0,1
Cs2 drop and play premier. Got carried every game with 4k rank friends. Rank drops and gets over 7k.,1148.7,0,1
LOVE,212.7,1,1
Product received for free Best game ever played but cs2 didnt live up to the hype and always looking forward to what they add in future BUT PLEASE VALVE ADDD AN OPERATION TO NOT LET THE GAME DIE :),1584.1,0,1
great,7155.0,0,1
good,577.2,0,1
"its like cs 1.5 or 1.6 if you added 100s of fake physics that dont make any sense and feel like garbage all the realism of dying in real life, but with none of the joy of a good fast shooting fps",181.0,0,0
ok,147.8,0,1
Great game!,1119.2,0,1
a,100.8,0,0
fun game,1070.9,0,1
subticks suck,55.0,0,0
Can't chose map.,3.0,0,0
so fun with friends.,56.6,0,1
better spending money here than a casino,68.2,0,1
I recommended this game but so many cheaters in premier with ELO 10000k UP,999.2,0,1
its fun ;),5.9,0,1
First competitive game played had massive hacker. Hacks were so bad he locked people out from vote kicking him as well as our teams ability to vote surrender. Nice Anti Cheat Valve,5.6,1,0
541563416,452.1,0,1
Game is full of hackers.....,37.7,2,0
best fps game,662.5,0,1
Great game 5/5,890.2,0,1
Great Game!,55.9,0,1
"Product received for free ok first off cs:go was good i never played it as much as i did 1.6 or source, but cs:2 is a lag simulator i have adjusted my max ping to 70 and below and it is totally unplayable, i play tarkov at 180 fps, arma 3 at 260 fps mw3 at 120 fps, im lucky if i get 5 fps in counter strike 2, the recommended settings are set to high, i even tried lowering them to medium, low to test and literally even with my ping set to 40 max - still totally unplayable. my average fps in an hour of playing just before i wrote this was 10.5 fps - server stability was a joke even with my ping settings yet i have no problems playing ANY THING ELSE ON HIGH OR ULTRA SETTINGS AT 1080p but cs:2 is a complete joke amd ryzen 5600 amd rx 6600 kingston fury beast 64 gb",12.1,4,0
"I do recommend but as long as they are aware that this game is kind of broken with the number of cheaters, no option to change the gun into the left view, it's lagging even if your ping is low and no packetloss...",425.2,0,1
mnogo qka ama ponqkoga tupa,316.6,0,1
Valve always disappointing <3!!!!!,1723.1,0,1
Great Game!!!,89.3,1,1
Product received for free best realistic shooting game ever just would like to modify guns andmake them shot better and make so you can pay for it in competitive game,579.5,0,1
uh god..,10.5,0,1
nice,5.3,0,1
The Best Shooting Game there is!!!!!!! Been playing this game since a little kid and I am still enjoying it today,1723.9,0,1
g,17.3,0,1
"destroy your enemies, and your friendships",832.1,0,1
Product received for free Classic fps experience,638.8,0,1
Why did they rip off counterblox?,261.4,0,1
"many cheaters but vac not working, PLEASE, upgrade anti cheats like valorant. I so love this game.",293.8,1,0
"pee bottle vibes , very glitchy and wobbly/laggy.",232.8,0,0
Superb game! very intuitive,11.9,0,1
They removed so many features for better graphics. This game is a downgrade.,59.7,0,0
trash game,8.8,0,0
this game sucks and makes me mad,138.6,0,1
brrrtttt,18.9,0,1
This is literally the best game ive ever played i cant freaking stop it makes my weiner so freaking hard its insane why cant i stop playing this game oh my goodness please take this game away from me mom please im begging you please dont let me play cs 2 anymore i wont be able to live a normal life if oi keep playing thisgame please i had to drop out of college to continue playing this game,319.0,0,1
gamba,109.9,1,1
ME LIKE A LOT,8.2,0,1
good,707.7,0,1
"When CS2 was only for limited people, i wanted this soo bad. Now that I actually played that game, i wish old CSGO would came back. This game is choppy and laggy",118.1,0,0
"♥♥♥♥ game, always been ♥♥♥♥ and 2 is even more ♥♥♥♥",2404.1,0,0
anda mal,25.6,2,0
♥♥♥♥,7.8,0,1
yup,29.8,0,1
i love you guys,1046.7,0,1
"Okay listen, life gets shorter and shorter every year. I have no free time with trying to afford my $2,500 1 bedroom 1 bathroom apartment while getting $15.25 an hour from serving at Lowes. This game makes me not have fun at the end of the night. I am never happy after a three hour session of CSGO ""2"". In fact, I now have high blood pressure at the ripe age of 26. I could have painted a painting, or learned to play the mandolin, or built a meaningful and supportive relationship. This game does not allow that. Save yourself. Save you. Today and Tomorrow and Tomorrow's Tomorrow.",63.3,2,0
where is arms race,204.8,0,0
"Each game full of cheters, wallers, aim hackers.... every f* game.",86.4,1,0
they took away the best game modes and maps,175.5,0,0
"Casually Playing it RN. I have not experience PREMIER,",48.4,0,1
good,3.8,0,1
its a good skill game,90.2,0,1
...,3.6,0,1
"Incredibly greedy valve will not hire enough employees to correct the cs2 hacking problem. Also, the matchmaking is atrocious. 13k elo 5 stacks will match with 8k single players.",1597.9,4,0
GUN,158.8,0,1
its so wawawewa,53.4,1,1
2,3504.0,0,1
gg,360.6,0,1
great,4.2,0,1
rush b,11.5,0,1
the game dont fkg start,426.9,0,0
no one speaks English,65.5,0,0
Just the worst,96.6,0,0
I love this game,158.4,0,1
Not Bad,728.7,0,1
"You will get banned for going AFK in a premium match with a literal spin bot but you can check back days later and the hacker will never be banned. I understand that the increase play time via releasing the game will help to polish it even faster, but there was no problem with csgo. I would've gladly waited until 2025 if it meant no dealing with the current state of this game and what will follow for probably another 6 months.",2463.2,0,0
Product received for free it good,15.1,0,1
it's very fun to play with your friends and overall a great game,119.0,0,1
yeee,29.7,0,1
Product received for free BEST GAMER FOR FREE EVER,67.1,0,1
liking the update so far. need more content. i miss the arms race and classic deathmatch,1075.3,0,1
ok,40.7,0,1
fix lagging pls this lag as hell,569.6,0,1
"So the game's great and all. But, where's Cache?",5.7,0,1
made me racist :(,27.9,0,0
♥♥♥♥♥♥ up,37.8,0,1
Very good,478.1,0,1
This game made me racist,264.2,1,1
"GRAPHICS 🔘 Ugly or Outdated. 🔘 Acceptable. 🔵 Beautiful. STORY 🔵 Basically there is no story. If there is, it's written by 5 years old child. 🔘 You CAN remember the story after you finished the game for a while. 🔘 You will miss the story and the characters. 🔘 You want to delete it after a few minutes. 🔵 Have some. 🔘 Make you forget about time. 🔘 Just mute it. 🔵 It's good. 🔘 Sometimes you will need to stop playing the game to hear it. 🔘 One-time experience. 🔘 You may want to play it again to try some new things. 🔵 You MUST play it again. 🔘 It's pure suffering! 🔵 There are only one difficulty level, but it offer a reasonably challenging experience. 🔘 There are more than one difficulty level.",86.7,0,1
GOOD GAME,303.3,0,1
Subtick still sucks just give us 128 tick,1243.3,0,0
Better than roblox,37.9,0,1
eruiohgbkdfgj,125.3,0,1
It is nice game,10.0,0,1
Kind of funny. but also poo.,897.9,1,1
"very beautiful . i stopped playing when csgo came out.. so thats a 8 year gap that i havent played and i ran cs 2 just to check it out , and boy did it make me wanna get back into playing cs! office and italy maps were so fun!",6.1,0,1
Jared Fogle Gameplay,12.7,0,1
terrorism.,20.9,0,1
"In short ""my life""",158.0,0,1
games ♥♥♥♥,5.5,0,0
Bring back TDM.,90.9,0,0
"CSGO was great. The community servers were awesome and the main reason I played the game. However, the forced merger of CSGO with CS2 has rendered the state of the servers and communities nearly obsolete, replaced by an inferior, but prettier version of the game. What was fun, is now anti-fun. Part of this is due to the poor performance and higher demand required to play CS2, but also because the larger more complex custom maps can no longer be played. In addition, what took over 10 years to build a rich and highly detailed variety of custom maps has been wiped out with this update. It will probably be several years until we even reach parity with the quality of custom maps that CSGO had, if the community survives. If you are someone who was/is part of Zombie Escape community, thank you for playing throughout all these years. Also, thanks to the creators of the custom maps and their continued support, despite Valve. Playing this game mode (and others) was a blast.",1648.3,0,0
Nice,185.8,1,1
meh,2276.1,0,1
EVERYONE IS SO NICE AND FRIENDLY A+,46.5,0,1
Best part is team killing your friends right before the round ends,185.6,1,1
nt,5.5,0,1
I play. I get silver. I cry. Team laugh at me. I cry more. I team kill myself irl,274.1,0,1
good,22.2,0,1
very fun,16.7,0,1
game bans you for leaving a toxic match but doesn't ban racist ♥♥♥♥♥♥♥♥♥ throwing. do better idiots. p.s. FU,1170.6,1,0
As a first time player and a person who has moved from console i think the game is great even if i don't have all the know how,6.5,0,1
good,20.1,0,1
i feel like this would be better if i was better at this game but oh well 4.5/6,55.7,0,1
i cummed after alot of debt,1047.7,0,1
"This matchmaking is awful. I haven't played since source, but I got ranked finally getting 10 wins. I'm at the second lowest rating in the game which is where I belong. WHY AM I GETTING MATCHED AGAINST PEOPLE WITH 3800 HOURS IN THE GAME?!?! I'm done until valve fixes this. I guess I should say IF valve fixes this. I obviously can't compete against these people and this is more game ruining than people hacking in the game.",140.9,0,0
"pretty good so far, i just feel the game it a bit slower than CSGO",41.0,0,1
good game probably,3012.7,0,1
SOOOO many cheaters,206.2,0,0
I've been playing since CS 1.5 & 1.6 when you could tweak every little thing about the visuals and audio. CS 2 has remained true to its roots which is great to see in this day and age. Still a great game to this day!,61.6,0,1
op,9.3,0,1
yes,4.1,0,1
"you shoot people, it funny",5.3,0,1
better than valorant for me,26.0,0,1
"CS1.6 finally got updated to CS2.0, can't wait for CS3.0 when my kids have kids 10/10",11.4,0,1
I'm bored,1000.8,0,0
mmm good yes mhmm,88.5,0,1
v,3.5,0,1
+1,550.3,0,1
A T model spawned on dust II and I shot through it (not a real person) and I instantly got banned for 2 hours for team damage. overall ♥♥♥♥♥♥♥ buggy game,190.1,0,0
pretty good game if you want players -3std devs worse than you yelling orders in your ear all day,2109.3,0,1
I SUCK!,666.1,0,1
"Resurrects my childhood gaming memories, combining the nostalgia of the classic title with new features, creating an immersive and enjoyable experience that pays homage to the timeless essence of the franchise.",486.0,0,1
march 7th,5.5,0,1
pew pew,91.9,0,1
"If you want to have fun with friends, lose friends, make friends, get yelled at by Russians, or just relax and explore what the community workshop has to offer? You have found your game! Oh! did I mention take your money by developing a slight gambling addiction. I have played countless hours in this game and it has become my favorite. It will always hold a spot in my heart.",293.5,0,1
gg,513.2,0,1
got disconnected from two premier games. could not reconnect. got game ban permanently. ggs,104.7,1,0
PEW PEW,67.6,0,1
its all i could ask for,32.7,0,1
good game,186.9,0,1
SO FUN,25.5,0,1
i love gambling way too much,67.6,0,1
yes,37.3,0,1
BAD SMOKES,96.9,0,0
"Гра непогана. Граю я дуже добре, залишилось тільки попрацювати над комунікацією, прицілюванням, знанням мапи, розміщенням прицілу, управлінням економікою, прицілюванням з пістолета, AWP фліками, лайнапами для гранат, позиціонуванням, позиціями встановлення вибухівки, ретейками, стрибками, контролем віддачі та влучанням у ціль.",386.6,0,1
♥♥♥♥ game no play it game yes?,1059.3,1,1
overpriced,82.4,0,0
"mj'/j ;/,k' m/j' .,kj;'/,.j ,;'/.k; .j',; .lkj;', . n'.,'n.m';,.",12.9,0,1
Muito bom,1012.2,0,1
its over pased really hard but im getting back into it its wwwwwww,38.2,0,1
It is CS2 for fk sake just ♥♥♥♥♥ play it !!! unless ur a ♥♥♥♥♥ who wants to play valorant and fortnite so grow the ♥♥♥♥ up and get some help asap !!!,862.1,1,1
Can you change the matching mechanism!,1012.9,0,1
iss cool ig,50.2,0,1
Product received for free its good,294.9,0,1
boring,3528.7,0,1
its good game++,681.6,0,1
"nahh, dont play it",157.1,1,0
:3,24.1,0,1
CS2 is even worse than GO. At least uninstall works.,1080.6,1,0
Product received for free gud,5.1,0,1
Got Called a Slur in my first game 10/10,1023.4,0,1
+,12.7,0,1
GOOD GAME GET GUN SHOOT GUN KILL BAD GUY VERY SIMPLE AND FUN GAME,28.4,0,1
I have developed a crippling gambling addiction,123.6,0,1
"This game was the framchise I didn't know was the perfect franchise for me. Gameplay is solid, maps are great, skill ceiling is high, and the skins <3",2030.5,0,1
"weird game. feels clunky, plus its playerbase stats are fake",46.5,1,0
good,23.5,0,1
Amazing!,51.2,0,1
Guapped game built for only the guappiest sigma skibidy toilets!!!!!!!!!,502.8,0,1
gg,1000.6,0,1
yes,4.5,0,1
Only getting worse,506.4,3,0
Nice game,183.0,0,1
Quite often teetering on being my 13th reason.,89.0,0,1
Object that I've shoved up my arse: umbrella handle broomstick handle hockey stick handle cigar banana fingers stiff ♥♥♥♥♥ small glass jar little baby jesus maria carrey jim carrey gabe newel karambit the end,5.0,1,1
this is what drug addiction looks like.,2052.0,0,1
fthdthrheh,138.1,0,1
"Printstream' color works badly in the game,i hope it can be fixed quickly,thank u.",703.9,0,0
very gud,59.3,0,1
"I ♥♥♥♥♥♥♥ hate only up, almost killed myself, still a really cool map",18.6,0,1
good game,576.8,0,1
super fun game,9.8,0,1
"stand and shoot, would not recommended.",5.0,0,0
save yourself,193.5,0,0
"♥♥♥♥ game as long Prime ranked allows ''1 dc from start'' games to count, can't even surrender 6 rounds",169.3,0,0
Game makes you paranoid of cheaters. Especially after 10k elo,1042.7,0,0
Juego mucho.,254.5,0,1
better than valorant,74.9,0,1
Product received for free Ich hab' deutsch und russisch gelernt um das Spiel zu spielen.,27.0,0,1
Friendly russian 👍,154.6,0,1
game runs like ♥♥♥♥ match making is ♥♥♥♥♥♥ and not to mention all the content they removed from csgo and the ♥♥♥♥♥♥♥ garbage ass sounding ak,828.4,1,0
Casual mode enthusiast,316.2,0,1
"where is ""right there""?",202.6,0,0
asdasd,621.4,0,1
very nice,84.2,0,1
really rushed game super bad,3320.7,1,0
l,3025.2,1,1
cancer game but I loved it,81.6,0,1
yes the best game ever,1578.8,0,1
"I'm poor now, Thanks game :)",25.0,0,1
very nice,4.9,0,1
Best fps game that I have ever played,103.0,0,1
e de cacat,14.2,0,0
decent,360.0,1,1
so counter strike global offense was famous and iconic. the amount of memes that spread from the game were crazy. then came the second game and it got better. better graphics new game modes counter strike is everything ive ever wanted now. unfortunately we will never see cs3 because valve cant count to 3. this game is better than rainbow six siege and call of duty. valve hasnt been doing good lately but out of all of there 20 years this is one of the best ones.,6.9,0,1
...,28.4,0,0
Buggy ass game needs to be fixed but still fun 2 months into CS2 :),428.1,0,1
Not bad.,2.1,0,1
"I love CS, but CS2 was simply a downgrade from CSGO, game feels clunky, I guess the maps look good, but I always liked the rustic feel of CSGO. Not really sure what I was expecting, but I was excited, and it just simply did not deliver. Missing commands, shadow updates, numerous bugs, loss of content, lag, and more. The game is just simply a worse version of CS. With that being said, I understand that game launches will never be perfect, but you cannot compare this to the launch of CSGO. Valve makes like 50m a month on cases, so you would think they would have at least provided a ready game. I am sure one day when the product is actually finished that CS2 will be a great game, but as of now it is just not up to the standards it should be.",83.7,4,0
very good,3.9,0,1
IT A GOOD GAME,41.7,0,1
bring back the small maps...,79.8,0,0
good action,2502.3,0,1
outside of the hacks it's fun. like from 30 years ago,20.8,0,1
"CS2 is unplayable. Game are crashing after 15/20min of play, for no reasons, since the launch of CS2. We're a lot who are in this case and Valve doesn't give a f. I don't have a potato pc and i try ALL ""fix"" we can found. Nothing works. After 772h, i can't play a full game. And the more i reboot the game, less are my time in game before crash. But only on official serv. I got 0 issues on private server. F Valve.",727.9,0,0
nice,54.1,1,1
"The state of cs2 at this point is far from what I expected. I was really excited for cs2, but after its release I've been thoroughly disappointed and barely feel like playing the game...",4448.5,2,0
AHLA COUNTER,62.6,0,1
"Nice game without a good anticheat, full of whackers and idiots",1980.6,0,0
full of cheaters / gg with the same anticheat,1504.4,0,0
very good game to shoot my russian teammates,29.9,0,1
Cant kick my own useless teammates,282.2,0,0
yea,309.7,1,1
"CS2 becoming more and more boring, if a game can't be imaginative and creative , it is dying. suggestion: 1. create a more reasonable system of evaluating the level and rank of players so that player can have fun with players of similar level. nobody want to waste time to play with others who are too far apart. 2.try to make the game a little more creative, such as creating 3 different body types of characters with different bounce heights and movement speeds and drawbacks; and protecting the torso from a single shot from an AWP with a super jumping leg move... 3.reducing the size of the head reduces the chance of headshots, and a good player should be a perfect combination of marksmanship and strategy. 4.left hand view is a must.",1894.7,0,0
px,229.5,0,1
F*** VALORANT,13.0,0,1
"Product received for free no i dont like game, to many russians and sweare words lol hate game. csgo king, cs2 poop",301.0,0,0
it good smoke make pc go boom,3.3,0,1
Better than ow2,13.1,0,1
Product received for free i like my w key,1094.2,0,1
mmmm. Yes. Banana good :),111.2,1,1
"I have played this in 2003 it was ground breaking... a masterpiece, only if I could delete selected parts of my memory and replay this from zero would be great.",1559.4,0,1
Product received for free Really fun,8.6,0,1
Cheaters,54.4,1,1
meh. csgo was better. maybe it'll be better in 12-18 months,335.2,0,1
shiii fire,1800.2,0,1
allegedly this game was fun once,175.4,1,0
"Counter Strike 2 is a highly anticipated continuation of the famous shooter game series. While the game brings many improvements and interesting new features, I have to mention that I found the movement of the characters to be quite strange and not very natural. Sometimes, it feels like the characters move in an unusual manner and it doesn't feel as fluid as in other similar games. Additionally, I have noticed that there are moments when death occurs frustratingly from someone who is running and shooting in a peculiar way. This can be quite disappointing and can lead to a less enjoyable gaming experience. However, I remain optimistic that the developers will address these issues and resolve these aspects in future updates. Counter Strike 2 has tremendous potential, with impressive graphics and a passionate player community. If the developers work on adjusting the movement and improving gameplay aspects, I am confident that this game will reach the level of quality and popularity of its predecessor, Counter Strike Global Offensive.",1121.8,0,1
hh,2532.3,0,1
cod but less content,54.2,1,0
Product received for free El paco te hace gastar menos plata y te consume menos la vida,1045.2,0,1
this game is realy fun. I like killing other people,32.9,0,1
Pretty decent game to play with ya mates and rage a little,1507.8,0,1
"its really fun to play w friends, strategy, precision and ofc lots of guns, but i kind of dislike the gambling and economy part of it all, it totally relies on the person but for me it's really unexpected from a game like this",35.8,0,1
Product received for free If you like to get -2000 points because of server problems and cannot reconnecting If you like to sweat you ass of every round for the points and get killed from people that use hacks Get this game you will enjoy it !,594.5,0,1
What can I say im cool game but anti cheat is a joke,383.8,1,1
Product received for free jep,68.6,0,1
10/10,1582.3,1,1
CE:SE-GOU! Joci countar.? Doar daca poty,342.8,1,0
its good just mute everyone when you play,42.7,0,1
Product received for free Great game I learned 5 languages because of it,514.5,0,1
nice game,28.4,0,1
?,360.0,0,1
I actually have played this game for 20 years on and off. I love it even more with the new CS2. It started full of flaws but with time it tends to get better and better. I saw the same thing happening 1.6 > Source > CSGO and now CS2. Be patient and everything gonna be alright!,1936.5,0,1
"As someone with twice as much time in the Map Editor for CSGO as the game itself CS2 is one of biggest letdowns I've ever experienced. I don't think I'll ever understand why they clung to the Summer 2023 deadline rather than just waiting for content parity with CSGO. The import tools from CSGO to CS2 is not easy to understand and the documentation is confusing, and even when a map is successfully ported to CS2 it is likely to be missing half the assets because some maps just do not exist in CS2. The fact that this replaced CSGO means either I deal with the porting tools or just allow my work to be lost to time. So far CS2 has been nothing but letdown after letdown, do not bother with this game if you're looking for a game that caters to Counter-Strike's history of community content.",235.0,2,0
this is so ♥♥♥♥ rn i cant even play its black screen and sometimes is see black and purple,249.9,0,1
ee,17.4,0,1
"Product received for free Pretty good game, just crashes a lot. Hopefully valve fixes it.",21.0,0,1
ultra bad game,179.3,1,0
amazing,38.2,0,1
Product received for free its a good game play for a wile then you'll get good,32.4,0,1
relly good kvalety,516.7,0,1
1000 hours of my life i will never get back,1000.1,0,1
very cheaters,62.6,0,1
Horton heard an audio que,39.6,0,1
"full of cheaters, change the anti-cheat.",654.1,0,1
good game,404.5,0,1
Aim in Game translates to aim IRL,281.9,0,1
value instead of lying about your ping rates could you plz put fix the cheater problem literally cant play 1 match without a blatant cheater. just wasted my money on prime for nothing,168.3,2,0
RIP CSGO 2012-2023 (*),666.4,1,1
baba game yallah,205.9,0,1
Product received for free its make you broke something,30.5,0,1
on its way,203.5,0,1
good,177.1,0,1
my family hates me,621.7,0,1
n,38.7,0,1
BOOMHEADSHOT -- FPS DOUG,1089.7,0,1
f,146.6,0,1
fun,9.1,0,1
ugly ass,551.1,1,0
REALLY GOO GAME,13.6,0,1
Yes,67.8,1,0
Speedruns depression,216.6,2,1
Blinded in chains,1156.5,0,1
OLM BANA CS GO MÜZİK KİTİNİ VERMEDİNİZ LANNNNNNNNNNNN (48 saat cs go oynadim),46.3,1,0
Balls,355.2,2,1
